project	sample	experiment	run	Y chr overlaps	XIST overlaps	total overlaps	Y chr junctions	XIST junctions	total junctions	is male?	(Y chr overlaps / total overlaps)
DRP001797	DRS014278	DRX021432	DRR023453	9	55	1762783	7	10	129897	0	0.00000511
SRP040547	SRS582026	SRX500929	SRR1204612	22	0	4354844	15	0	162007	1	0.00000505
DRP001797	DRS014274	DRX021428	DRR023400	9	108	1784753	9	11	127474	0	0.00000504
DRP001797	DRS014273	DRX021427	DRR023395	2	8	396708	2	3	78751	0	0.00000504
DRP001797	DRS014274	DRX021428	DRR023399	9	102	1797820	5	13	127802	0	0.00000501
ERP005641	ERS444316	ERX548812	ERR590823	20	1	4032560	12	1	181852	0	0.00000496
SRP040547	SRS582142	SRX501049	SRR1204805	19	0	3869665	12	0	162881	1	0.00000491
SRP040547	SRS582036	SRX500939	SRR1204660	23	0	4717195	17	0	163744	1	0.00000488
SRP012656	SRS312069	SRX145879	SRR493944	52	902	10687893	37	27	280483	0	0.00000487
DRP001797	DRS014275	DRX021429	DRR023413	7	114	1440832	6	10	111385	0	0.00000486
SRP015799	SRS362528	SRX187628	SRR573774	6	31	1237925	2	6	125423	0	0.00000485
ERP000546	ERS025088	ERX011225	ERR030883	29	131	6089431	12	9	160439	0	0.00000476
SRP043368	SRS641361	SRX610347	SRR1424756	12	12	2522350	10	7	99463	0	0.00000476
ERP005641	ERS444316	ERX548840	ERR590851	21	0	4458825	13	0	187509	0	0.00000471
SRP018022	SRS362528	SRX218887	SRR651376	8	28	1702823	4	13	139040	0	0.00000470
SRP031858	SRS493230	SRX367107	SRR1015695	1	0	213714	1	0	54704	0	0.00000468
ERP004078	ERS359942	ERX329161	ERR356373	12	476	2586903	7	25	147673	0	0.00000464
ERP005641	ERS444314	ERX548796	ERR590807	16	1	3467061	11	1	172410	1	0.00000461
SRP028344	SRS465599	SRX329569	SRR946062	8	78	1742274	7	11	140104	0	0.00000459
DRP001797	DRS014281	DRX021435	DRR023478	8	107	1744694	6	13	125507	0	0.00000459
DRP001797	DRS014278	DRX021432	DRR023454	8	50	1766341	6	10	129698	0	0.00000453
SRP043108	SRS634229	SRX589543	SRR1377214	14	18	3124122	13	6	122434	0	0.00000448
DRP001797	DRS014274	DRX021428	DRR023401	8	95	1791927	6	18	127587	0	0.00000446
DRP001797	DRS016623	DRX021456	DRR023689	7	139	1570789	5	15	109611	0	0.00000446
DRP001797	DRS014274	DRX021428	DRR023397	8	73	1803906	8	12	127720	0	0.00000443
SRP001599	SRS212584	SRX079569	SRR390731	2	0	452821	2	0	80964	1	0.00000442
SRP030628	SRS488279	SRX361137	SRR1004302	5	192	1132690	5	16	145084	0	0.00000441
SRP044391	SRS661458	SRX655514	SRR1518364	8	0	1823237	8	0	139166	1	0.00000439
ERP005641	ERS444311	ERX548793	ERR590804	14	46	3215686	10	11	161484	0	0.00000435
SRP040547	SRS581979	SRX500882	SRR1204594	22	0	5054493	15	0	169252	1	0.00000435
SRP040547	SRS582826	SRX501775	SRR1205957	20	0	4606381	14	0	170513	1	0.00000434
ERP005641	ERS444316	ERX548826	ERR590837	19	0	4390157	12	0	186912	0	0.00000433
SRP043108	SRS634214	SRX589528	SRR1377161	8	27	1863271	8	8	100917	0	0.00000429
SRP043368	SRS641347	SRX610333	SRR1424740	26	163	6057007	19	16	148829	0	0.00000429
SRP040547	SRS582135	SRX501042	SRR1204778	17	0	3976950	13	0	161334	1	0.00000427
ERP005641	ERS444311	ERX548821	ERR590832	15	54	3519823	14	10	166043	0	0.00000426
SRP043108	SRS634217	SRX589531	SRR1377174	6	15	1425361	6	8	86121	0	0.00000421
ERP005641	ERS444314	ERX548824	ERR590835	16	2	3802666	13	2	177596	1	0.00000421
DRP001797	DRS014280	DRX021434	DRR023468	7	45	1667340	6	11	125054	0	0.00000420
DRP001797	DRS014275	DRX021429	DRR023406	6	105	1432788	5	10	111202	0	0.00000419
SRP028340	SRS362528	SRX329531	SRR946070	10	171	2390185	9	16	152925	0	0.00000418
SRP040547	SRS582029	SRX500931	SRR1204652	14	0	3368531	12	0	159568	1	0.00000416
DRP001797	DRS014275	DRX021429	DRR023416	6	90	1451485	5	12	111625	0	0.00000413
DRP001797	DRS014279	DRX021433	DRR023465	7	55	1704331	7	14	124381	0	0.00000411
DRP001797	DRS014272	DRX021426	DRR023381	7	72	1708061	6	11	125652	0	0.00000410
ERP000546	ERS025083	ERX011184	ERR030874	30	393	7356523	17	16	191687	0	0.00000408
DRP001797	DRS016620	DRX021449	DRR023646	6	190	1471378	6	17	113722	0	0.00000408
SRP041736	SRS603221	SRX534504	SRR1274246	5	61	1244668	2	4	34370	0	0.00000402
SRP043368	SRS641345	SRX610331	SRR1424738	20	69	4983485	12	11	140113	0	0.00000401
DRP001797	DRS014281	DRX021435	DRR023476	7	80	1748494	4	12	125939	0	0.00000400
SRP043108	SRS634219	SRX589533	SRR1377181	4	12	1004001	4	7	77687	0	0.00000398
ERP000546	ERS025081	ERX011182	ERR030885	23	174	5787088	8	12	155411	0	0.00000397
ERP005641	ERS444311	ERX548835	ERR590846	14	72	3536476	12	10	166517	0	0.00000396
SRP030628	SRS488276	SRX361133	SRR1004298	5	45	1282054	4	10	140657	0	0.00000390
SRP017959	SRS464358	SRX328075	SRR943340	14	43	3604379	13	11	156680	0	0.00000388
DRP001797	DRS014282	DRX021436	DRR023482	7	55	1805718	6	10	127101	0	0.00000388
DRP001797	DRS014282	DRX021436	DRR023483	7	37	1807705	5	7	127253	0	0.00000387
SRP026048	SRS452445	SRX314973	SRR921947	28	325	7253067	10	15	240321	0	0.00000386
SRP012656	SRS312073	SRX145883	SRR493951	32	505	8311403	19	25	235961	0	0.00000385
DRP001797	DRS016623	DRX021456	DRR023690	6	118	1568858	5	15	109275	0	0.00000382
SRP031858	SRS493227	SRX367104	SRR1015692	1	1	261627	1	1	59126	0	0.00000382
