min projects	junctions	annotated	exonskips	altstartend	novel	GTAG	annotated GTAG	GCAG	annotated GCAG	ATAC	annotated ATAC
340	193573	167219	6781	15999	3574	189785	165492	2918	1556	870	171
339	194143	167548	6844	16147	3604	190337	165818	2931	1559	875	171
338	194720	167866	6902	16311	3641	190889	166133	2948	1562	883	171
337	195307	168171	6965	16482	3689	191454	166433	2962	1567	891	171
336	195905	168472	7059	16646	3728	192028	166732	2977	1569	900	171
335	196493	168767	7140	16817	3769	192588	167021	3001	1575	904	171
334	197065	169058	7212	16985	3810	193134	167309	3019	1578	912	171
333	197631	169376	7257	17138	3860	193671	167619	3044	1586	916	171
332	198207	169675	7330	17310	3892	194223	167912	3058	1591	926	172
331	198800	169958	7403	17497	3942	194783	168191	3082	1595	935	172
330	199393	170237	7485	17689	3982	195348	168463	3101	1602	944	172
329	199995	170522	7576	17871	4026	195922	168747	3121	1603	952	172
328	200583	170835	7637	18048	4063	196486	169058	3138	1605	959	172
327	201126	171115	7708	18204	4099	197007	169332	3156	1611	963	172
326	201719	171419	7763	18398	4139	197570	169630	3179	1617	970	172
325	202313	171730	7830	18565	4188	198130	169938	3203	1619	980	173
324	202913	172035	7913	18728	4237	198700	170240	3220	1622	993	173
323	203512	172327	7991	18908	4286	199271	170529	3239	1625	1002	173
322	204121	172650	8077	19076	4318	199856	170849	3259	1628	1006	173
321	204730	172956	8147	19261	4366	200438	171151	3275	1632	1017	173
320	205352	173278	8210	19446	4418	201026	171468	3297	1637	1029	173
319	206017	173606	8295	19645	4471	201662	171795	3317	1638	1038	173
318	206619	173922	8372	19820	4505	202235	172108	3335	1641	1049	173
317	207200	174185	8445	20020	4550	202790	172365	3353	1647	1057	173
316	207818	174510	8516	20200	4592	203380	172684	3378	1652	1060	174
315	208446	174833	8599	20378	4636	203982	172999	3399	1660	1065	174
314	209038	175095	8691	20562	4690	204533	173256	3425	1665	1080	174
313	209700	175404	8794	20761	4741	205158	173558	3455	1672	1087	174
312	210353	175715	8872	20962	4804	205777	173866	3479	1675	1097	174
311	210953	175990	8950	21163	4850	206356	174140	3494	1676	1103	174
310	211523	176261	9016	21357	4889	206901	174408	3509	1679	1113	174
309	212183	176559	9099	21583	4942	207521	174705	3533	1680	1129	174
308	212818	176859	9183	21792	4984	208131	175005	3548	1680	1139	174
307	213462	177150	9267	22000	5045	208748	175292	3566	1684	1148	174
306	214073	177421	9358	22200	5094	209330	175561	3584	1686	1159	174
305	214708	177715	9442	22412	5139	209936	175850	3604	1690	1168	175
304	215339	177995	9527	22623	5194	210533	176127	3630	1693	1176	175
303	216014	178316	9604	22850	5244	211169	176439	3658	1702	1187	175
302	216686	178618	9694	23068	5306	211808	176738	3679	1705	1199	175
301	217371	178927	9778	23297	5369	212440	177039	3712	1711	1219	177
300	218045	179222	9862	23523	5438	213069	177325	3746	1719	1230	178
299	218696	179530	9939	23743	5484	213692	177631	3766	1721	1238	178
298	219382	179838	10030	23974	5540	214344	177932	3790	1728	1248	178
297	220086	180150	10116	24224	5596	215002	178242	3824	1730	1260	178
296	220818	180476	10217	24466	5659	215699	178563	3849	1735	1270	178
295	221534	180798	10318	24680	5738	216369	178881	3880	1739	1285	178
294	222244	181113	10415	24912	5804	217035	179193	3915	1742	1294	178
293	222886	181412	10514	25102	5858	217642	179486	3935	1746	1309	180
292	223621	181747	10598	25348	5928	218330	179814	3962	1752	1329	181
291	224350	182058	10710	25593	5989	219021	180120	3991	1757	1338	181
290	224984	182368	10794	25787	6035	219634	180426	4005	1761	1345	181
289	225741	182705	10892	26046	6098	220357	180758	4030	1766	1354	181
288	226465	183023	10980	26293	6169	221046	181072	4054	1770	1365	181
287	227197	183333	11067	26546	6251	221726	181377	4092	1775	1379	181
286	227925	183657	11174	26772	6322	222407	181697	4125	1779	1393	181
285	228634	183959	11269	27015	6391	223086	181996	4146	1782	1402	181
284	229325	184249	11377	27228	6471	223738	182284	4173	1784	1414	181
283	230072	184593	11476	27451	6552	224444	182624	4200	1787	1428	182
282	230753	184893	11565	27681	6614	225093	182921	4221	1790	1439	182
281	231548	185236	11690	27946	6676	225854	183261	4247	1793	1447	182
280	232294	185569	11792	28191	6742	226569	183588	4270	1799	1455	182
279	233028	185897	11889	28435	6807	227257	183912	4299	1802	1472	183
278	233818	186209	12015	28700	6894	227998	184222	4328	1804	1492	183
277	234554	186533	12118	28940	6963	228680	184543	4358	1807	1516	183
276	235309	186852	12229	29191	7037	229389	184855	4388	1814	1532	183
275	236137	187190	12331	29496	7120	230175	185189	4418	1818	1544	183
274	236960	187526	12472	29768	7194	230958	185521	4441	1822	1561	183
273	237763	187843	12575	30082	7263	231717	185831	4471	1829	1575	183
272	238489	188152	12665	30325	7347	232409	186136	4489	1833	1591	183
271	239336	188463	12781	30639	7453	233203	186444	4523	1835	1610	184
270	240078	188755	12899	30880	7544	233899	186732	4553	1839	1626	184
269	240799	189052	12999	31119	7629	234571	187025	4586	1843	1642	184
268	241612	189401	13107	31388	7716	235338	187368	4620	1849	1654	184
267	242448	189730	13231	31692	7795	236132	187695	4650	1851	1666	184
266	243253	190065	13354	31972	7862	236898	188024	4678	1857	1677	184
265	244078	190400	13468	32267	7943	237669	188355	4719	1859	1690	186
264	244935	190744	13573	32564	8054	238456	188694	4760	1863	1719	187
263	245787	191101	13691	32848	8147	239265	189050	4793	1864	1729	187
262	246542	191394	13797	33117	8234	239976	189340	4825	1867	1741	187
261	247424	191729	13919	33430	8346	240803	189671	4867	1871	1754	187
260	248265	192072	14039	33707	8447	241597	190010	4888	1874	1780	188
259	249105	192388	14170	34010	8537	242382	190319	4925	1881	1798	188
258	249921	192719	14285	34298	8619	243154	190639	4953	1892	1814	188
257	250724	192992	14401	34598	8733	243902	190908	4986	1896	1836	188
256	251594	193315	14537	34902	8840	244707	191224	5023	1903	1864	188
255	252473	193651	14642	35249	8931	245537	191556	5052	1907	1884	188
254	253330	193990	14759	35570	9011	246352	191892	5080	1910	1898	188
253	254185	194330	14863	35891	9101	247162	192225	5113	1917	1910	188
252	255046	194656	15004	36200	9186	247976	192547	5146	1921	1924	188
251	255882	194950	15122	36513	9297	248753	192838	5180	1924	1949	188
250	256812	195272	15264	36883	9393	249625	193156	5221	1927	1966	189
249	257722	195621	15381	37217	9503	250470	193501	5256	1930	1996	190
248	258610	195942	15505	37546	9617	251300	193819	5293	1933	2017	190
247	259515	196272	15635	37887	9721	252149	194145	5330	1937	2036	190
246	260453	196614	15767	38234	9838	253031	194484	5365	1940	2057	190
245	261343	196934	15903	38546	9960	253849	194799	5408	1945	2086	190
244	262291	197303	16018	38892	10078	254732	195164	5449	1948	2110	191
243	263225	197647	16161	39245	10172	255610	195504	5483	1950	2132	193
242	264165	197977	16300	39604	10284	256482	195831	5523	1953	2160	193
241	265156	198335	16437	39989	10395	257411	196186	5564	1956	2181	193
240	266069	198662	16570	40334	10503	258267	196505	5600	1964	2202	193
239	267056	199013	16695	40726	10622	259182	196849	5648	1970	2226	194
238	267994	199341	16836	41075	10742	260045	197169	5689	1978	2260	194
237	268940	199680	16971	41431	10858	260926	197506	5730	1980	2284	194
236	269962	200048	17121	41809	10984	261867	197866	5781	1986	2314	196
235	270969	200399	17286	42157	11127	262800	198212	5836	1991	2333	196
234	272013	200749	17462	42533	11269	263773	198558	5883	1995	2357	196
233	273046	201096	17647	42894	11409	264731	198903	5923	1997	2392	196
232	274049	201437	17772	43297	11543	265658	199242	5958	1998	2433	197
231	275067	201795	17926	43655	11691	266578	199588	6017	2010	2472	197
230	276054	202113	18073	44034	11834	267488	199904	6071	2012	2495	197
229	277048	202471	18205	44392	11980	268394	200257	6124	2017	2530	197
228	278065	202835	18359	44752	12119	269331	200613	6176	2023	2558	199
227	279106	203176	18517	45144	12269	270288	200952	6224	2025	2594	199
226	280189	203555	18683	45541	12410	271292	201323	6275	2033	2622	199
225	281227	203860	18837	45959	12571	272255	201624	6315	2037	2657	199
224	282311	204214	19008	46366	12723	273256	201970	6366	2045	2689	199
223	283341	204520	19182	46756	12883	274202	202270	6423	2051	2716	199
222	284442	204865	19328	47195	13054	275211	202610	6480	2056	2751	199
221	285588	205214	19486	47673	13215	276263	202953	6540	2061	2785	200
220	286732	205559	19668	48125	13380	277317	203291	6601	2068	2814	200
219	287899	205922	19815	48609	13553	278386	203646	6667	2076	2846	200
218	288967	206253	19977	49047	13690	279376	203972	6720	2081	2871	200
217	290128	206612	20145	49506	13865	280442	204327	6779	2085	2907	200
216	291215	206930	20304	49958	14023	281445	204639	6831	2091	2939	200
215	292352	207291	20493	50392	14176	282496	204995	6883	2096	2973	200
214	293471	207640	20667	50822	14342	283524	205339	6938	2100	3009	201
213	294645	207985	20847	51325	14488	284622	205678	6984	2105	3039	202
212	295761	208321	21003	51770	14667	285647	206011	7038	2108	3076	202
211	296907	208690	21155	52230	14832	286707	206377	7098	2111	3102	202
210	298121	209052	21326	52735	15008	287842	206737	7143	2113	3136	202
209	299334	209380	21490	53262	15202	288951	207058	7209	2119	3174	203
208	300520	209725	21643	53751	15401	290032	207400	7272	2121	3216	204
207	301723	210089	21827	54214	15593	291135	207758	7327	2126	3261	205
206	302973	210444	22003	54721	15805	292267	208106	7397	2133	3309	205
205	304213	210793	22202	55232	15986	293408	208451	7458	2137	3347	205
204	305498	211155	22397	55744	16202	294580	208805	7532	2145	3386	205
203	306754	211517	22604	56241	16392	295722	209158	7609	2154	3423	205
202	308031	211878	22804	56741	16608	296887	209511	7664	2161	3480	206
201	309321	212255	22984	57280	16802	298080	209881	7726	2168	3515	206
